ticker,shares,total_cost,month
INTR,0.70681,4.00,2025-04
ATAT,0.002,0.05,2025-04
VOO,0.00006,0.03,2025-04
VTI,0.01498,4.00,2025-04
VOO,0.008,4.00,2025-04
ATAT,0.14059,4.00,2025-04
IBIT,0.4189,20.01,2025-04
CTRE,0.1572,4.02,2025-03
QQQ,0.008,3.99,2025-03
SCHG,0.1521,4.03,2025-03
MU,0.04231,4.00,2025-01
INTR,0.565,2.46,2025-01
MTZ,0.02721,4.01,2025-01
ATAT,0.1587,3.96,2025-01
NVDA,0.03728,5.23,2025-01
TSLA,0.00619,2.51,2025-01
LMB,0.04117,4.00,2025-01
IAU,0.012299,1.00,2026-01
IAU,0.098697,8.30,2026-01
IAU,0.046298,4.00,2026-01
IAU,0.046133,4.00,2026-01
SMH,0.003968,1.50,2026-01
SMH,0.005276,2.00,2026-01
SMH,0.006483,2.50,2026-01
SMH,0.012942,5.00,2026-01
SMH,0.005107,2.00,2026-01
SMH,0.002503,1.00,2026-01
QTUM,0.017448,2.00,2026-01
QQQ,0.003286,2.00,2026-01
NVDA,0.010795,2.00,2026-01
VOO,0.006416,4.00,2026-01
QQQ,0.001629,1.00,2026-01
QTUM,0.008563,1.00,2026-01
NVDA,0.005342,1.00,2026-01
NVDA,0.005034,1.00,2026-01
QQQ,0.003242,2.00,2026-01
QQQ,0.001617,1.00,2026-01
QTUM,0.042746,5.00,2026-01
QTUM,0.017064,2.00,2026-01
QQQ,0.003223,2.00,2026-01
VOOG,0.003373,1.50,2026-01
AIQ,0.019104,1.00,2026-01
VOO,0.004741,3.00,2026-01
AIQ,0.019016,1.00,2026-01
QQQ,0.004797,3.00,2026-01
VTI,0.008040,2.74,2026-01
VTI,0.004394,1.50,2026-01
VOO,0.006279,4.00,2026-01
CTRE,0.040149,1.50,2026-01
QTUM,0.008425,1.00,2026-01
QQQ,0.004370,2.74,2026-01
VTI,0.005834,2.00,2026-01
VTI,0.004370,1.50,2026-01
SCHG,0.092568,3.00,2026-01
SCHG,0.030764,1.00,2026-01
CRDO,0.007373,1.00,2026-01
HOOD,0.016737,2.00,2026-01
QBTS,0.051750,1.50,2026-01






